father,sire_show_rate,sire_lcb95,sire_show_rate_turf,sire_show_rate_dirt
ゴールデンゼウス,0.3125,0.18662163557046527,0.34782608695652173,0.25
ゴールデンバローズ,0.3125,0.14166397164215325,0.18181818181818182,0.4166666666666667
ゴールデンフェザント,0.19462084422861411,0.1821676142057468,0.20882971268395234,0.1808960270498732
ゴールデンマンデラ,0.16666666666666666,0.04989815455742298,0.18181818181818182,0.21428571428571427
ゴールドアクター,0.22580645161290322,0.17723071434712792,0.23076923076923078,0.22666666666666666
ゴールドアリュール,0.23861537225925628,0.2323564134245342,0.18365337272279667,0.24943732263430865
ゴールドウエイ,0.3333333333333333,0.16636269171015386,0.3333333333333333,0.3333333333333333
ゴールドキング,0.2,0.041023167506996534,0.25,0.2222222222222222
ゴールドシップ,0.22491103202846974,0.21206974949440557,0.23676148796498905,0.15486725663716813
ゴールドヘイロー,0.22290502793296088,0.20690613607631744,0.21496598639455783,0.2309217046580773
ゴールドヘッド,0.2222222222222222,0.10559644892751713,0.2222222222222222,0.14285714285714285
ゴールドマサユキ,0.12727272727272726,0.06245261312037449,0.15384615384615385,0.13157894736842105
ゴールドレツト,0.11538461538461539,0.06234894748848049,0.11904761904761904,0.14285714285714285
ゴールドロビン,0.2222222222222222,0.046389263979611135,0.25,0.25
サイドチヤペル,0.2,0.1063800448764146,0.21428571428571427,0.21212121212121213
サイレントディール,0.17050691244239632,0.13039671372772094,0.1348314606741573,0.20300751879699247
サイレントハンター,0.11188811188811189,0.08289532286463201,0.14354066985645933,0.03896103896103896
サウスアトランテイツク,0.20634920634920634,0.16585732442201348,0.13821138211382114,0.2781954887218045
サウスヴィグラス,0.23387605704909756,0.22609273144566294,0.11837455830388692,0.24331439656366913
サウンドスカイ,0.09090909090909091,0.01719099663247961,0.25,0.09523809523809523
サウンドボルケーノ,0.13793103448275862,0.08253110498427886,0.15789473684210525,0.1267605633802817
サキノシヨウグン,0.2,0.041023167506996534,0.25,0.2222222222222222
サクスンコテイジ,0.2777777777777778,0.1832522285601948,0.14814814814814814,0.40625
サクライツトー,0.09090909090909091,0.05500364225443355,0.11764705882352941,0.08333333333333333
サクラオリオン,0.13402061855670103,0.08199683782976239,0.16455696202531644,0.08
サクラオールイン,0.11320754716981132,0.051460069079688725,0.10810810810810811,0.17391304347826086
サクラガイセン,0.15789473684210525,0.08648636670514005,0.16216216216216217,0.18518518518518517
サクラケイザンオー,0.15151515151515152,0.10353217988943389,0.1958762886597938,0.08108108108108109
サクラゴールド2,0.2,0.041023167506996534,0.25,0.2222222222222222
サクラサニーオー,0.13934426229508196,0.09153994595603228,0.16666666666666666,0.13333333333333333
サクラシヨウリ,0.25,0.15442824825735682,0.20689655172413793,0.16666666666666666
サクラシンゲキ,0.2303370786516854,0.19455779810788887,0.24705882352941178,0.21875
サクラスパート,0.5555555555555556,0.36400877324794967,0.25,0.5882352941176471
サクラセダンスキー,0.2,0.041023167506996534,0.2222222222222222,0.25
サクラゼウス,0.19642857142857142,0.11640453753546232,0.12903225806451613,0.28125
サクラダイオー,0.20714285714285716,0.15346283354405224,0.16666666666666666,0.23076923076923078
サクラチトセオー,0.17548500881834214,0.16251433653240333,0.20432513049962714,0.12237762237762238
サクラチヨノオー,0.21398002853067047,0.19620459600792448,0.2217741935483871,0.205607476635514
サクラテルノオー,0.24719101123595505,0.17572357089856908,0.18181818181818182,0.2857142857142857
サクラトウコウ,0.2119140625,0.19124166323672948,0.18494623655913978,0.24074074074074073
サクラバクシンオー,0.2436340371081254,0.23800505839405817,0.25547922800130846,0.22675662333388186
サクラプレジデント,0.17367949865711726,0.16066661183027994,0.18594436310395315,0.154776299879081
サクラホクトオー,0.15166461159062886,0.13145780258504713,0.17843866171003717,0.10583941605839416
サクラメガワンダー,0.1702127659574468,0.08959302118954753,0.09523809523809523,0.10526315789473684
サクラユタカオー,0.2564027939464494,0.24423278997924008,0.2552995391705069,0.24171888988361684
サクラロータリー,0.16501650165016502,0.131293415930485,0.21428571428571427,0.11564625850340136
サクラローレル,0.19915115899444988,0.18739638217353535,0.16126350789692437,0.22379912663755458
サザンヘイロー,0.13758389261744966,0.10625133031478283,0.14814814814814814,0.143646408839779
サダムパテック,0.05172413793103448,0.014497388770103233,0.08823529411764706,0.06451612903225806
サチエノヒリユウ,0.2222222222222222,0.08464510203057857,0.18181818181818182,0.2857142857142857
サツカーボーイ,0.19825708061002179,0.1894843649377986,0.21096810296586457,0.16295025728987994
サトノアラジン,0.199288256227758,0.17708234541581008,0.1761786600496278,0.2199074074074074
サトノアレス,0.2777777777777778,0.12377091476954695,0.3333333333333333,0.2
サトノクラウン,0.1661721068249258,0.1431800673727775,0.16233766233766234,0.18055555555555555
サトノダイヤモンド,0.24448529411764705,0.21474367846390982,0.2563451776649746,0.21656050955414013
サドラーズラッド,0.1917808219178082,0.12155800512723774,0.21621621621621623,0.19047619047619047
サドンストーム,0.16666666666666666,0.033319217684229845,0.18181818181818182,0.25
サドンソー,0.25,0.05337550047023718,0.25,0.25
サニングデール,0.20134228187919462,0.16436286687537907,0.17391304347826086,0.2289156626506024
サニーシプレー,0.09523809523809523,0.018065203085418632,0.15384615384615385,0.14285714285714285
サニーブライアン,0.1779252110977081,0.16270394019867973,0.21148825065274152,0.1498800959232614
サフロンウォルデン,0.11888111888111888,0.0890382679542238,0.14049586776859505,0.11377245508982035
