jockey_id,place_count,total_count,jockey_show_rate,jockey_win_rate,jockey_race_count,jockey_lcb95
560,159,495,0.3207171314741036,0.12525252525252525,495,0.28689166617887796
561,291,883,0.3292134831460674,0.11664779161947905,883,0.30353629960330236
563,41,148,0.27741935483870966,0.10135135135135136,148,0.22011258501422748
566,44,425,0.10648148148148148,0.03294117647058824,425,0.08317517303848959
568,264,1003,0.2633663366336634,0.09571286141575275,1003,0.24084886499009933
571,70,312,0.22570532915360503,0.060897435897435896,312,0.18826103744828088
575,1,12,0.15789473684210525,0.08333333333333333,12,0.04702488429256185
576,1,9,0.1875,0.0,9,0.05684686759024681
579,18,114,0.1652892561983471,0.043859649122807015,114,0.11327388873971657
581,0,1,0.25,0.0,1,0.05337550047023718
582,2,31,0.10526315789473684,0.0,31,0.03778001026592486
584,11,62,0.18840579710144928,0.03225806451612903,62,0.11695335483585208
588,40,270,0.15162454873646208,0.037037037037037035,270,0.11772237502570734
589,3,49,0.08928571428571429,0.0,49,0.0365071655509729
590,22,246,0.09486166007905138,0.02032520325203252,246,0.06654115460696643
591,575,2793,0.20607142857142857,0.06265664160401002,2793,0.19362059316148675
595,16,89,0.1875,0.033707865168539325,89,0.12619046371803685
597,954,4197,0.2274024738344434,0.0814867762687634,4197,0.21684444727979726
598,68,354,0.19390581717451524,0.05084745762711865,354,0.1607120535044639
600,1174,4381,0.268003646308113,0.09358593928326867,4381,0.2570670374887711
605,48,277,0.176056338028169,0.061371841155234655,277,0.14028163855770454
606,91,525,0.17481203007518797,0.0419047619047619,525,0.1484617464888734
607,46,350,0.13445378151260504,0.02857142857142857,350,0.10600207085047426
608,6,47,0.14814814814814814,0.02127659574468085,47,0.07738689017466463
609,12,203,0.06666666666666667,0.019704433497536946,203,0.04094819406030327
610,12,120,0.11023622047244094,0.05,120,0.06843664184242468
611,82,454,0.1822125813449024,0.06607929515418502,454,0.15347275064954863
612,13,175,0.08241758241758242,0.005714285714285714,175,0.05177712381114031
613,91,238,0.3795918367346939,0.14705882352941177,238,0.32925019421378376
614,6,32,0.20512820512820512,0.0625,32,0.10930700137649749
617,484,2093,0.23142857142857143,0.07692307692307693,2093,0.2164404971038034
618,130,488,0.26666666666666666,0.0942622950819672,488,0.23454672548953576
620,264,1270,0.20830070477682067,0.07716535433070866,1270,0.1898782962173501
621,570,3612,0.1580547112462006,0.03709856035437431,3612,0.14819027289330725
622,47,317,0.15123456790123457,0.04416403785488959,317,0.11980877426908484
623,142,816,0.17496962332928312,0.05514705882352941,816,0.15365510387911763
624,30,238,0.1306122448979592,0.03361344537815126,238,0.09706127755673001
625,63,470,0.13626834381551362,0.04680851063829787,470,0.11135024033930943
626,208,810,0.25703794369645044,0.1,810,0.23224624399863714
627,248,906,0.2738225629791895,0.08498896247240618,906,0.24984462620487127
628,274,1210,0.22678718159408381,0.06115702479338843,1210,0.20730849295582157
629,2150,10735,0.2003351331223236,0.05728924080111784,10735,0.19401516496837146
630,242,1111,0.2182468694096601,0.07560756075607561,1111,0.19822571327543598
631,427,2865,0.14937325905292478,0.04607329842931937,2865,0.13857487519274744
632,99,513,0.19423076923076923,0.04873294346978557,513,0.16640312477715244
633,167,994,0.16883116883116883,0.03722334004024145,994,0.1497478617586954
634,126,508,0.24854368932038834,0.08464566929133858,508,0.21781114744890595
635,3869,14052,0.2753396400881997,0.10375747224594364,14052,0.2691614770339178
637,933,5985,0.15604138851802404,0.0431077694235589,5985,0.14839656384386793
638,72,410,0.1774580335731415,0.02926829268292683,410,0.14762069393317803
639,67,502,0.13555992141453832,0.029880478087649404,502,0.11146435154100869
640,126,809,0.1568627450980392,0.038318912237330034,809,0.13642221485500938
641,5367,17814,0.3012737781269289,0.1058156506118783,17814,0.2956334076333746
642,382,1894,0.20199894792214623,0.06969376979936642,1894,0.18703621280490168
643,279,1376,0.2031814895155459,0.07267441860465117,1376,0.18563778257614766
645,34,362,0.0975609756097561,0.03038674033149171,362,0.0734836533182111
647,142,940,0.15205913410770855,0.03829787234042553,940,0.13330182610459962
648,262,1045,0.2509505703422053,0.08803827751196172,1045,0.22924493301818336
649,11,44,0.2549019607843137,0.022727272727272728,44,0.1611745965307894
650,5,49,0.125,0.02040816326530612,49,0.061286728690963514
651,117,707,0.16666666666666666,0.0594059405940594,707,0.14428274220655915
652,2375,11503,0.20651607298001737,0.06641745631574372,11503,0.2003390909691119
654,38,160,0.23952095808383234,0.04375,160,0.1871726920540792
655,440,1725,0.25519630484988454,0.08463768115942029,1725,0.23813175996683233
656,158,1119,0.14209591474245115,0.03663985701519214,1119,0.12535686306183763
657,2376,7520,0.31592932111066824,0.1113031914893617,7520,0.30714394476981854
658,83,762,0.11053315994798439,0.026246719160104987,762,0.09253887808040911
660,6395,17505,0.36529237094563727,0.14235932590688374,17505,0.359316243159899
661,23,194,0.12437810945273632,0.030927835051546393,194,0.08841630122855548
662,140,1006,0.140177690029615,0.041749502982107355,1006,0.12265650005333073
663,5837,18130,0.32193857859623976,0.12178709321566464,18130,0.316243453746773
664,37,281,0.13541666666666666,0.02491103202846975,281,0.10380451741301794
665,272,1357,0.20087976539589442,0.06484893146647015,1357,0.1832941618516791
666,8257,19152,0.431076778537502,0.1847326649958229,19152,0.42519602296577724
667,56,365,0.15591397849462366,0.038356164383561646,365,0.12609979091786058
668,8,44,0.19607843137254902,0.06818181818181818,44,0.11272161341407588
669,10,141,0.08108108108108109,0.014184397163120567,141,0.0477776418203679
670,697,4080,0.17103009542451675,0.04926470588235294,4080,0.1614355782568464
672,1508,7336,0.20563802260656408,0.06270447110141766,7336,0.19792629420733246
673,365,1933,0.18917525773195876,0.05431971029487843,1933,0.17473706741189382
674,1364,6168,0.22121457489878543,0.07409208819714656,6168,0.2125787204812666
675,542,2673,0.20298507462686566,0.05723905723905724,2673,0.19033454936279257
676,154,1363,0.11386861313868613,0.041085840058694055,1363,0.10008457859060298
678,34,451,0.07860262008733625,0.022172949002217297,451,0.05903662178989466
679,1417,6960,0.20367446533658676,0.05718390804597701,6960,0.19578731121906165
680,588,3318,0.1774436090225564,0.05997588908981314,3318,0.16665849549007652
681,140,987,0.14285714285714285,0.0425531914893617,987,0.12502650461234516
682,2408,8830,0.27271698540228584,0.09026047565118912,8830,0.264954111689058
683,84,841,0.10141509433962265,0.030915576694411414,841,0.08492350532263179
684,4333,17826,0.2430886558627264,0.08403455626612813,17826,0.23782173592810726
685,1260,5850,0.21546866996756017,0.06803418803418804,5850,0.20668826491719633
686,13,48,0.2727272727272727,0.041666666666666664,48,0.17967844113823553
687,24,234,0.1078838174273859,0.021367521367521368,234,0.07702629113615277
688,318,1706,0.18680677174547577,0.05803048065650645,1706,0.17153169223474662
689,2636,16459,0.16020891534070206,0.05024606598213743,16459,0.15553083959935712
690,423,2327,0.18209083119108826,0.05371723248818221,2327,0.16911061669377173
691,627,2253,0.27831858407079646,0.0887705281846427,2253,0.2629272537172397
692,152,932,0.16400425985090522,0.05042918454935622,932,0.1445528330837829
693,262,1640,0.16029143897996356,0.04573170731707317,1640,0.1456639321010451
695,401,1935,0.20751802265705457,0.06046511627906977,1935,0.19255807185696483
