win_prob_min,min_ev,min_odds,max_odds,tune_n_main,tune_main_hits,tune_main_roi,tune_final,valid_n_main,valid_main_hits,valid_main_roi,valid_final
0.12,2.0,10.0,20.0,17,0,-1.0,813000.0,11,0,-1.0,891000.0
0.1,2.0,10.0,20.0,17,0,-1.0,813000.0,11,0,-1.0,891000.0
0.1,1.5,10.0,15.0,17,0,-1.0,813000.0,8,0,-1.0,894000.0
0.12,1.2,7.0,30.0,45,3,-0.38,812900.0,26,1,-0.7230769230769231,883200.0
0.1,1.2,7.0,30.0,45,3,-0.38,812900.0,26,1,-0.7230769230769231,883200.0
0.15,1.2,3.0,20.0,65,8,-0.2630769230769231,812900.0,36,3,-0.55,882200.0
0.15,1.1,5.0,15.0,53,5,-0.3339622641509434,812300.0,24,1,-0.7,885200.0
0.1,2.0,5.0,30.0,33,2,-0.5393939393939394,812200.0,20,1,-0.64,889200.0
0.15,1.5,7.0,20.0,27,1,-0.6592592592592592,812200.0,16,1,-0.55,893200.0
0.15,1.4,7.0,20.0,27,1,-0.6592592592592592,812200.0,16,1,-0.55,893200.0
0.1,2.0,3.0,30.0,33,2,-0.5393939393939394,812200.0,20,1,-0.64,889200.0
0.15,1.5,3.0,15.0,45,4,-0.39555555555555555,812200.0,18,2,-0.35555555555555557,895600.0
0.12,2.0,3.0,30.0,33,2,-0.5393939393939394,812200.0,20,1,-0.64,889200.0
0.12,2.0,5.0,30.0,33,2,-0.5393939393939394,812200.0,20,1,-0.64,889200.0
0.15,1.3,10.0,30.0,18,0,-1.0,812000.0,11,0,-1.0,891000.0
0.15,1.2,10.0,30.0,18,0,-1.0,812000.0,11,0,-1.0,891000.0
0.15,1.75,10.0,30.0,18,0,-1.0,812000.0,11,0,-1.0,891000.0
0.15,1.1,10.0,30.0,18,0,-1.0,812000.0,11,0,-1.0,891000.0
0.15,1.4,10.0,30.0,18,0,-1.0,812000.0,11,0,-1.0,891000.0
0.15,1.0,10.0,30.0,18,0,-1.0,812000.0,11,0,-1.0,891000.0
0.1,1.4,10.0,15.0,18,0,-1.0,812000.0,8,0,-1.0,894000.0
0.15,1.5,10.0,30.0,18,0,-1.0,812000.0,11,0,-1.0,891000.0
0.15,2.0,10.0,30.0,18,0,-1.0,812000.0,11,0,-1.0,891000.0
0.12,1.4,10.0,15.0,18,0,-1.0,812000.0,8,0,-1.0,894000.0
0.12,1.2,5.0,20.0,64,6,-0.2828125,811900.0,32,1,-0.775,877200.0
0.1,1.2,5.0,20.0,64,6,-0.2828125,811900.0,32,1,-0.775,877200.0
0.15,1.3,3.0,20.0,58,7,-0.3137931034482759,811800.0,32,2,-0.6375,881600.0
0.12,1.0,10.0,30.0,29,1,-0.6344827586206897,811600.0,19,0,-1.0,883000.0
0.1,1.0,10.0,30.0,29,1,-0.6344827586206897,811600.0,19,0,-1.0,883000.0
0.12,1.1,10.0,30.0,29,1,-0.6344827586206897,811600.0,19,0,-1.0,883000.0
0.1,1.3,10.0,30.0,29,1,-0.6344827586206897,811600.0,18,0,-1.0,884000.0
0.1,1.1,10.0,30.0,29,1,-0.6344827586206897,811600.0,19,0,-1.0,883000.0
0.1,1.2,10.0,30.0,29,1,-0.6344827586206897,811600.0,19,0,-1.0,883000.0
0.12,1.2,10.0,30.0,29,1,-0.6344827586206897,811600.0,19,0,-1.0,883000.0
0.12,1.3,10.0,30.0,29,1,-0.6344827586206897,811600.0,18,0,-1.0,884000.0
